ShortCode	Type	Title	Author	Journal	Organization	Publisher	Address	Year	Volume	Number	URL	Date Accessed													
NYTAfterSerial	article	"After 'Serial,' What Podcasts to Listen To"	Jonah Bromwich	The New York Times				2 October 2015			http://www.nytimes.com/2015/10/01/business/media/after-serial-what-podcasts-to-listen-to.html?_r=0	10 October 2015													
ambulantecs	book	Radio Audiences and Participation in the Age of Network Society	"Tiziano Bonini and Belén Moncús, ed."			Routledge Studies in European Communication Research and Education	New York	2014			https://books.google.com/books?id=8WS2BQAAQBAJ&pg=PA185&lpg=PA185&dq=radio+ambulante+kickstarter&source=bl&ots=D_sijGVPv6&sig=6-Ic6sydOaEX8B3_fiCn5_EPq2w&hl=en&sa=X&ved=0CDsQ6AEwBWoVChMIyO3Ehe-nyAIVyMo-Ch097g_B#v=onepage&q=radio%20ambulante%20kickstarter&f=false	10 October 2015													
DLvsListen	online	"Downloads, Listens, Listeners, and About Those Podcast Numbers"	Pete Davies		Medium			12 December 2014			https://medium.com/@pete/downloads-listens-listeners-and-about-those-podcast-numbers-73a5ee3e2fca	10 October 2015													
libsyndata	online	Libsyn Sees Record Podcast Network Growth in 2014	Clark Buckner		Libsyn			19 February 2015			http://www.libsyn.com/wp-content/uploads/2015/06/PRLibsynNetGrowth021915Final.pdf	10 October 2015													
KPCB	online	Insights From KPCB U.S. and Global Internet Trends 2015 Report	Dave Chaffey		Smart Insights			11 June 2015			http://www.smartinsights.com/internet-marketing-statistics/insights-from-kpcb-us-and-global-internet-trends-2015-report/	10 October 2015													
ctr	online	Display Advertising Clickthrough Rates	Dave Chaffey		Smart Insights			21 April 2015			http://www.smartinsights.com/internet-advertising/internet-advertising-analytics/display-advertising-clickthrough-rates/	10 October 2015													
voxphil	online	Why Podcasts Have Such Terrible Ads … 	Phil Edwards		Vox			28 September 2015			http://www.vox.com/2015/9/28/9408375/podcast-ads	10 October 2015													
talpbc	online	"Ira Glass Starts Own Company for 'This American Life,' 'Serial'"	Tyler Falk 		Current			10 July 2015			http://current.org/2015/07/ira-glass-starts-own-company-for-this-american-life-serial/	10 October 2015													
smartphones	article	Android Users Won't Drop Money on Just Any App	Lily Hay Newman	Slate				26 June 2014			http://www.slate.com/blogs/future_tense/2014/06/26/there_are_twice_as_many_android_users_as_ios_but_ios_users_spend_double.html	10 October 2015													
PCcars	article	What's Behind the Great Podcast Renaissance?	Kevin Roose	New York Magazine				30 October 2014			http://nymag.com/daily/intelligencer/2014/10/whats-behind-the-great-podcast-renaissance.html#	10 October 2015													
radiocars	online	The Remarkable Resilience of Old-Fashioned Radio in the U.S.	John McDuling		Quartz			4 April 2014			http://qz.com/195349/the-remarkable-resilience-of-old-fashioned-radio-in-the-us/	10 October 2015													
gm	online	Chevy Is Bringing Apple CarPlay and Android Auto to the Masses	Adam Clark Estes		Gizmodo			27 May 2015			http://gizmodo.com/chevy-is-bringing-apple-carplay-and-android-auto-to-the-1707219276	10 October 2015													
gartner	article	How Your Car Is Becoming the Next Hot Tech Gadget	Richard Core	Forbes				23 September 2015			http://www.forbes.com/sites/samsungbusiness/2015/09/23/how-your-car-is-becoming-the-next-hot-tech-gadget/	10 October 2015													
carbuying	article	"Average Car in the U.S. Now Over 10 Years Old, a Record"	Jim Henry 	Forbes				20 January 2012			http://www.forbes.com/sites/jimhenry/2012/01/20/average-car-in-the-u-s-now-over-10-years-old-a-record/	10 October 2015													
digiday	online	The Measurement Challenge Facing Podcast Advertising 	Eric Blattberg		Digiday			5 February 2015			http://digiday.com/platforms/measurement-challenge-podcast-advertising/	10 October 2015													
cjr	article	The Economics of the Podcast Boom	Ann Friedman 	Columbia Journalism Review				20 March 2015			http://www.cjr.org/first_person/the_economics_of_the_podcast_boom.php	10 October 2015													
mars	online	Podcast With Limited Radio Airplay Sets Kickstarter Record	Andrew Lapin		Current			20 August 2012			http://current.org/2012/08/podcast-with-limited-radio-airplay-sets-kickstarter-record/	10 October 2015													
radiotopia	online	Radiotopia Sets Record for Publishing and Radio Funding on Kickstarter	Vignesh Ramachandran 		Knight Foundation blog			14 November 2014			http://knightfoundation.org/blogs/knightblog/2014/11/14/radiotopia-sets-record-for-publishing-and-radio-funding-on-kickstarter/	10 October 2015													
million	online	Knight Foundation Invests $1 Million in Creator-Driven Podcast Collective Radiotopia	Justin Ellis		Nieman Journalism Lab			12 May 2015			http://www.niemanlab.org/2015/05/knight-foundation-invests-1-million-in-creator-driven-podcast-collective-radiotopia/	10 October 2015													
nuzum	online	"Amazon's Audible Hires NPR VP of Programming, Signaling Move into Original Podcasting"	James Risley		GeekWire			16 May 2015			http://www.geekwire.com/2015/amazon-makes-moves-into-original-podcasting-hires-npr-vp-of-programming/	10 October 2015													
